date,temperature_max_c,temperature_min_c,precipitation_mm,wind_speed_kmh
2025-01-01,30.4,19.0,0.0,12.5
2025-01-02,28.8,17.9,11.2,8.9
2025-01-03,31.0,17.5,0.0,8.6
2025-01-04,31.2,18.1,0.0,16.1
2025-01-05,27.8,15.7,0.0,16.3
2025-01-06,28.6,16.2,0.0,11.6
2025-01-07,30.4,16.4,0.0,11.0
2025-01-08,29.9,17.0,0.0,15.7
2025-01-09,30.2,19.1,0.0,9.2
2025-01-10,29.3,17.2,0.0,9.8
2025-01-11,31.4,18.1,0.0,13.6
2025-01-12,31.3,20.7,0.0,11.0
2025-01-13,30.5,18.3,0.0,12.0
2025-01-14,31.8,20.0,0.0,11.6
2025-01-15,31.0,17.5,0.0,12.8
2025-01-16,29.5,18.7,0.0,15.5
2025-01-17,31.0,17.7,0.0,12.2
2025-01-18,29.4,18.6,0.0,13.6
2025-01-19,31.7,20.5,0.0,6.9
2025-01-20,30.6,16.7,0.0,11.9
2025-01-21,30.5,20.0,0.0,9.9
2025-01-22,29.9,19.8,0.0,9.0
2025-01-23,32.2,18.6,0.0,9.8
2025-01-24,30.6,17.4,0.0,11.2
2025-01-25,30.3,19.7,0.0,14.3
2025-01-26,30.4,18.9,0.0,8.7
2025-01-27,31.5,20.1,0.0,12.1
2025-01-28,31.3,19.9,0.0,10.8
2025-01-29,31.4,22.3,5.3,11.2
2025-01-30,31.5,19.6,0.0,14.5
2025-01-31,33.6,18.5,0.0,13.3
2025-02-01,30.6,20.4,0.0,15.3
2025-02-02,30.5,20.5,0.0,11.6
2025-02-03,30.1,22.3,0.0,10.3
2025-02-04,31.9,21.5,0.0,11.4
2025-02-05,32.5,20.9,0.0,12.6
2025-02-06,31.1,22.6,0.0,12.4
2025-02-07,30.2,18.7,0.0,9.3
2025-02-08,30.3,19.6,0.0,12.2
2025-02-09,32.1,19.2,0.0,12.6
2025-02-10,32.2,20.1,0.0,18.3
2025-02-11,32.0,18.7,0.7,16.7
2025-02-12,30.6,21.8,0.0,9.9
2025-02-13,31.7,20.6,0.0,11.3
2025-02-14,31.6,18.8,0.0,8.3
2025-02-15,31.8,19.5,0.0,10.5
2025-02-16,32.6,21.6,0.0,12.8
2025-02-17,31.9,22.4,0.0,15.0
2025-02-18,32.4,24.2,0.0,10.2
2025-02-19,31.7,25.7,0.0,10.4
2025-02-20,32.0,22.0,0.0,6.6
2025-02-21,32.5,20.0,0.0,11.6
2025-02-22,30.0,18.3,0.0,9.3
2025-02-23,31.4,22.0,0.0,10.7
2025-02-24,31.3,20.4,0.0,9.8
2025-02-25,31.1,21.1,0.0,11.8
2025-02-26,31.6,20.9,0.0,7.6
2025-02-27,33.7,21.6,0.0,8.3
2025-02-28,30.9,23.5,0.0,17.3
2025-03-01,33.2,22.2,0.0,8.8
2025-03-02,30.0,21.8,0.0,9.3
2025-03-03,31.7,20.6,0.0,16.6
2025-03-04,32.3,19.7,0.0,19.3
2025-03-05,32.8,21.5,0.0,9.1
2025-03-06,33.0,22.2,0.0,11.1
2025-03-07,33.1,25.0,0.0,12.9
2025-03-08,31.8,22.6,0.0,16.3
2025-03-09,31.7,24.0,0.0,9.5
2025-03-10,33.3,21.8,0.0,11.4
2025-03-11,32.1,20.9,0.0,13.9
2025-03-12,30.8,21.3,0.0,13.1
2025-03-13,31.0,21.7,0.0,11.1
2025-03-14,31.3,26.0,0.0,11.7
2025-03-15,33.1,21.7,0.0,8.6
2025-03-16,32.7,24.2,0.0,11.4
2025-03-17,33.4,21.7,0.0,11.3
2025-03-18,32.0,24.5,0.0,12.6
2025-03-19,32.8,23.8,0.0,10.6
2025-03-20,33.4,23.0,0.0,13.2
2025-03-21,32.3,23.3,0.0,14.5
2025-03-22,33.2,22.4,0.0,12.4
2025-03-23,31.9,24.1,0.0,12.9
2025-03-24,32.3,22.8,0.0,12.1
2025-03-25,32.3,21.8,0.0,12.0
2025-03-26,31.4,21.7,0.0,10.2
2025-03-27,33.4,24.0,0.0,12.8
2025-03-28,32.3,26.2,0.0,11.8
2025-03-29,32.9,24.1,0.0,17.2
2025-03-30,33.5,23.8,0.0,15.9
2025-03-31,33.5,24.4,0.0,13.0
