order_id,timestamp,city,restaurant_id,cuisine,order_value,delivery_time_min,surge_applied
ORD138520,2025-01-01T00:00:00,Delhi,R0521,Fast Food,185,31,0
ORD132134,2025-01-01T00:06:00,Mumbai,R0021,Italian,792,46,0
ORD111938,2025-01-01T00:36:00,Chennai,R0221,Continental,702,34,0
ORD134651,2025-01-01T00:51:00,Pune,R0498,Italian,468,35,0
ORD143104,2025-01-01T01:17:00,Delhi,R0448,Continental,887,50,0
ORD128320,2025-01-01T01:28:00,Mumbai,R0508,Fast Food,342,28,0
ORD128365,2025-01-01T01:34:00,Pune,R0364,North Indian,350,38,0
ORD113939,2025-01-01T01:56:00,Delhi,R0317,North Indian,551,56,0
ORD142613,2025-01-01T02:16:00,Delhi,R0735,Biryani,503,38,0
ORD146266,2025-01-01T02:33:00,Bangalore,R0641,North Indian,245,36,0
ORD144193,2025-01-01T02:38:00,Delhi,R0097,Italian,479,54,0
ORD115909,2025-01-01T02:58:00,Bangalore,R0434,Fast Food,246,34,0
ORD138813,2025-01-01T03:55:00,Mumbai,R0600,Fast Food,156,35,0
ORD119722,2025-01-01T03:59:00,Hyderabad,R0311,Chinese,278,52,0
ORD127530,2025-01-01T04:01:00,Bangalore,R0381,Fast Food,327,15,0
ORD105496,2025-01-01T04:04:00,Kolkata,R0160,Chinese,253,29,0
ORD123677,2025-01-01T04:11:00,Pune,R0314,Chinese,373,42,0
ORD146073,2025-01-01T04:18:00,Delhi,R0599,Italian,271,26,0
ORD147003,2025-01-01T04:35:00,Mumbai,R0123,North Indian,481,47,0
ORD113446,2025-01-01T04:38:00,Pune,R0457,Beverages,80,57,0
ORD105244,2025-01-01T04:49:00,Mumbai,R0358,Beverages,104,25,0
ORD140110,2025-01-01T04:50:00,Bangalore,R0554,Chinese,336,50,0
ORD127062,2025-01-01T05:02:00,Delhi,R0335,Fast Food,80,44,0
ORD100529,2025-01-01T05:12:00,Pune,R0776,North Indian,452,30,0
ORD126220,2025-01-01T05:14:00,Delhi,R0536,Biryani,220,18,0
ORD123143,2025-01-01T05:14:00,Kolkata,R0739,Italian,578,42,0
ORD107066,2025-01-01T05:17:00,Delhi,R0673,Biryani,531,22,0
ORD149092,2025-01-01T05:18:00,Mumbai,R0585,Continental,802,29,0
ORD142950,2025-01-01T05:25:00,Pune,R0667,Continental,397,36,0
ORD109710,2025-01-01T05:29:00,Mumbai,R0566,South Indian,122,37,0
ORD109478,2025-01-01T05:45:00,Pune,R0307,Chinese,349,30,0
ORD109715,2025-01-01T05:54:00,Hyderabad,R0418,Chinese,535,35,0
ORD123200,2025-01-01T06:01:00,Bangalore,R0760,Italian,463,26,0
ORD113272,2025-01-01T06:02:00,Bangalore,R0026,Beverages,153,16,0
ORD104349,2025-01-01T06:05:00,Pune,R0768,South Indian,212,20,0
ORD106291,2025-01-01T06:06:00,Delhi,R0608,Biryani,347,54,0
ORD122937,2025-01-01T06:08:00,Chennai,R0100,Biryani,149,23,0
ORD135475,2025-01-01T06:14:00,Mumbai,R0047,Biryani,268,52,0
ORD125000,2025-01-01T06:19:00,Delhi,R0666,South Indian,227,34,0
ORD132161,2025-01-01T06:25:00,Bangalore,R0309,Italian,488,27,1
ORD102672,2025-01-01T06:31:00,Delhi,R0706,Beverages,141,55,0
ORD145239,2025-01-01T06:33:00,Kolkata,R0427,Chinese,438,48,0
ORD113359,2025-01-01T06:36:00,Mumbai,R0279,North Indian,413,18,1
ORD119204,2025-01-01T06:39:00,Bangalore,R0474,Continental,435,41,0
ORD135865,2025-01-01T06:41:00,Delhi,R0050,Italian,579,26,0
ORD122177,2025-01-01T06:42:00,Mumbai,R0316,Italian,476,42,0
ORD140263,2025-01-01T06:43:00,Pune,R0246,South Indian,201,35,0
ORD130540,2025-01-01T06:46:00,Bangalore,R0494,Beverages,185,29,0
ORD115553,2025-01-01T06:50:00,Hyderabad,R0507,Desserts,157,15,0
ORD121850,2025-01-01T06:53:00,Bangalore,R0058,Fast Food,269,34,0
ORD120947,2025-01-01T06:56:00,Bangalore,R0312,Italian,372,47,0
