city,date,forecast_orders
Bangalore,2025-04-01,118.9
Bangalore,2025-04-02,120.6
Bangalore,2025-04-03,122.4
Bangalore,2025-04-04,121.1
Bangalore,2025-04-05,115.9
Bangalore,2025-04-06,120.6
Bangalore,2025-04-07,118.3
Chennai,2025-04-01,55.0
Chennai,2025-04-02,54.0
Chennai,2025-04-03,57.9
Chennai,2025-04-04,54.9
Chennai,2025-04-05,56.1
Chennai,2025-04-06,54.0
Chennai,2025-04-07,52.1
Delhi,2025-04-01,95.0
Delhi,2025-04-02,91.0
Delhi,2025-04-03,88.5
Delhi,2025-04-04,90.4
Delhi,2025-04-05,91.2
Delhi,2025-04-06,91.1
Delhi,2025-04-07,84.3
Hyderabad,2025-04-01,71.3
Hyderabad,2025-04-02,71.6
Hyderabad,2025-04-03,75.2
Hyderabad,2025-04-04,72.2
Hyderabad,2025-04-05,73.0
Hyderabad,2025-04-06,71.7
Hyderabad,2025-04-07,72.0
Kolkata,2025-04-01,43.9
Kolkata,2025-04-02,38.6
Kolkata,2025-04-03,45.3
Kolkata,2025-04-04,40.6
Kolkata,2025-04-05,39.2
Kolkata,2025-04-06,41.6
Kolkata,2025-04-07,42.2
Mumbai,2025-04-01,110.1
Mumbai,2025-04-02,109.0
Mumbai,2025-04-03,106.2
Mumbai,2025-04-04,106.5
Mumbai,2025-04-05,107.1
Mumbai,2025-04-06,110.6
Mumbai,2025-04-07,108.0
Pune,2025-04-01,62.3
Pune,2025-04-02,61.5
Pune,2025-04-03,61.1
Pune,2025-04-04,60.9
Pune,2025-04-05,61.2
Pune,2025-04-06,66.6
Pune,2025-04-07,62.6
