hour,n_treated,n_matched,match_rate_%,mean_diff
0,18,18,100.0,7.389
1,17,17,100.0,7.824
2,20,20,100.0,3.0
3,14,14,100.0,8.357
4,17,17,100.0,8.412
5,30,30,100.0,0.3
6,46,46,100.0,-3.37
7,85,85,100.0,0.376
8,87,87,100.0,3.724
9,98,98,100.0,-1.0
10,121,121,100.0,-0.694
11,139,139,100.0,0.59
12,1320,1320,100.0,0.063
13,1432,1432,100.0,0.34
14,153,153,100.0,-0.693
15,112,112,100.0,2.036
16,100,100,100.0,-0.86
17,117,117,100.0,-0.769
18,210,210,100.0,-0.09
19,2913,2913,100.0,-0.316
20,2709,2709,100.0,0.256
21,2048,2048,100.0,0.178
22,100,100,100.0,-0.41
23,31,31,100.0,6.968
