city,day_bucket,hour,n_orders,n_surge,avg_value,surge_rate,demand_pct_within_city,surge_pct_within_city,class,extra_surge,gap_spend_inr
Bangalore,weekday,18,581,24,336.4130808950086,0.04130808950086059,0.8958333333333334,0.16666666666666666,SUPPLY_GAP,227.52110242999188,4550.422048599838
Delhi,weekday,18,442,21,328.21493212669685,0.04751131221719457,0.8958333333333334,0.3333333333333333,SUPPLY_GAP,170.34651854398692,3406.9303708797383
Bangalore,weekday,11,376,22,330.1595744680851,0.05851063829787234,0.875,0.4375,SUPPLY_GAP,140.77441396502056,2815.4882793004113
Mumbai,weekday,11,360,15,331.55,0.041666666666666664,0.875,0.22916666666666666,SUPPLY_GAP,140.8478431579984,2816.9568631599677
Bangalore,weekday,14,359,21,338.0612813370474,0.0584958217270195,0.8541666666666666,0.4166666666666667,SUPPLY_GAP,134.41493248255952,2688.2986496511903
Mumbai,weekday,14,326,16,313.2546012269939,0.049079754601226995,0.84375,0.3333333333333333,SUPPLY_GAP,125.12888019307633,2502.5776038615268
Bangalore,weekday,17,308,13,320.9577922077922,0.04220779220779221,0.8125,0.1875,SUPPLY_GAP,120.33648803517642,2406.7297607035284
Bangalore,weekday,10,307,16,329.2214983713355,0.05211726384364821,0.7916666666666666,0.3541666666666667,SUPPLY_GAP,116.90357735973753,2338.0715471947506
Mumbai,weekday,10,304,14,316.7171052631579,0.046052631578947366,0.8125,0.2916666666666667,SUPPLY_GAP,117.60484533342088,2352.0969066684174
Bangalore,weekday,22,303,13,323.5874587458746,0.0429042904290429,0.75,0.20833333333333334,SUPPLY_GAP,118.17193465798198,2363.4386931596396
