city,day_bucket,hour,n_orders,n_surge,avg_value,surge_rate,demand_pct_within_city,surge_pct_within_city,class,wasted_inr
Delhi,weekend,10,96,14,341.9791666666667,0.14583333333333334,0.46875,0.7916666666666666,WASTE,280
Bangalore,weekend,11,141,13,316.8156028368794,0.09219858156028368,0.5,0.6041666666666666,WASTE,260
Bangalore,weekend,8,88,12,351.64772727272725,0.13636363636363635,0.3125,0.7604166666666666,WASTE,240
Bangalore,weekend,7,85,11,322.2352941176471,0.12941176470588237,0.2916666666666667,0.7291666666666666,WASTE,220
Delhi,weekend,17,94,11,358.7340425531915,0.11702127659574468,0.4375,0.75,WASTE,220
Mumbai,weekend,17,112,10,340.5625,0.08928571428571429,0.4166666666666667,0.6458333333333334,WASTE,200
Bangalore,weekend,15,108,10,333.1574074074074,0.09259259259259259,0.4270833333333333,0.625,WASTE,200
Mumbai,weekend,10,128,10,337.5078125,0.078125,0.5,0.5833333333333334,WASTE,200
Mumbai,weekend,22,105,10,320.51428571428573,0.09523809523809523,0.375,0.6875,WASTE,200
Delhi,weekend,9,92,9,323.2173913043478,0.09782608695652174,0.4166666666666667,0.6666666666666666,WASTE,180
